yg	yang
dgn	dengan
sy	saya
lbh	lebih
bs	bisa
hrs	harus
dlm	dalam
sdg	sedang
mhn	mohon
trims	terimakasih
ngga	tidak
nggak	tidak
x	nya
nomer	nomor
no	nomor
tlpn	telepon
trdaftar	terdaftar
pdhal	padahal
ga	tidak
thanks	terimakasih
meemasukkan	memasukkan
gak	tidak
lwt	lewat
dl	dulu
n	dan
g	tidak
dr	dari
yolong	tolong
sgt	sangat
dmn	dimana
tmn	teman
jg	juga
nmr	nomor
d	di
sblm	sebelum
ttp	tetap
utk	untuk
td	tadi
klo	kalau
kalo	kalau
kalu	kalau
anhka	angka
jumalh	jumlah
tanoa	tanpa
hrsnya	harusnya
sdh	sudah
banyaj	banyak
thx	terimakasih
gk	tidak
spy	supaya
gini	begini
